ID,Like,Comment
             LISA'S GF           ,32000.0,"These people in the comments section need a brain, I swear...."
             jade           ,25000.0,wtf is happening with bts' and this queen's mv? it literally has the same comment in every each person
             Kim Jeon           ,449.0,"Real life: If we stream, Blackpink wins, If we Vote, Blackpink wins."
             Stephanie Jane Andoy           ,46000.0,"BLACKPINK: How you like that?Me: NO I DON'T LIKE IT COZ I LOVEEEE IT VERYYY MUCHHHH!!Edit: Done. Sorry I did not know emojis freezes the views :3Edit (2): Emojis don't freeze the views (;Edit (3): I am not a liar. I was so fed up reading ""no one"" comments so I tried to leave good comments as possible so blinks may see atleast one decent comment. I'M A HUGE BLACKPINK FAN Y'ALL, and yes I'm a swiftie too :*"
             better hill           ,21000.0,"My 3 years old niece like ""KILL THIS LOVE"" better than this song, because there is something like duck in the MV lolAnyways, I can tell that she is blink too now. Hahahhaa ahh she is so cute when she dance to blackpink song.Edited: wow thank you for so many likes, I didn't expect it at all. And that's actually 2 swans in Jennie's scene (not duck).Some people really need to chill, my niece is 3 years old who has her own preference, hope u all can respect that (her fav: DDD, Boombayah, KTL). and ofcourse I like all of bp songs. Actually, I just want to share my fangirling experience here, and also thank you for sharing your fangirling experience with family in this comment, that's really adorable!"
             Midnight Wolf           ,26000.0,"For all of yall wondering why everyone is commenting the same thing, some ARMYs and other toxic kpop stans are doing it to freeze views. Guys, I know you are reading this, plz stop! You have your group, we have ours. You listen to your group, we listen to ours We have been waiting a long time for this, so for the love of God, leave us aloneEdit: it doesn't matter who started it,2 wrongs don't make a right"
             MOTIVATIONAL VIDEOS           ,75000.0,How many international fans are here? 🌍
             Kim Jeon           ,392.0,VOTE BLACKPINK IN MAMA SOTY
             Kim Jeon           ,149.0,10 reason why blackpink deserve SOTY: 1. TALENTED2.TALENTED3. TALENTED4. TALENTED5. TALENTED6. TALENTED7. TALENTED8. TALENTED9. TALENTED10. TALENTEDPLEASE STR3AM FOR OUT PINKS!
             Vanessa Rivera           ,106.0,How many filipino blinks are here?🇵🇭👇👇
             Not your friend           ,37000.0,Yall keep hating but BLACKPINK keeps winning . That’s it . You’ll know how useless you are . ;)
             Pqueen_delisi           ,4600.0,I wish jisoo said  ''Black pink in your area '' the beginning of the song.
             Famosinhos Teen           ,624.0,"ESTAMOS CHEGANDOO BLINKS,700 MILHÕESSSS, NÃO PAREM DE ASSISTIREMMMM;-;"
             Bill TYP           ,6700.0,"83M views in 24hrs, 200M views in 7 days How you like that Haters?"
             Rizky Bintang           ,11000.0,"1x Watch : ?5x Watch : NOT BAD 10x Watch : NOT BAD AT ALL20x Watch : HoW YoU LiKeEe ThAaAaTtTtEdit : 100x watch : Now I know what my brain was created forThanks for 9,8 likes btw"
             Selly Potato           ,395.0,"Let's do it Blinks, show them that we're not called monster streamers for nothing!"
             handriansyah pakaya           ,29000.0,Im a ReVeluv here to support BLACKPINK! Lets go we can do it!!
             Judy Ann Relos           ,1100.0,One of a kind. BLACKPINK MV's are the most ICONIC of all.
             •SØY- VAŁEŇ•           ,111.0,No bajemos la guardia. No podemos dejar que les quiten a blackpink el puesto de el vídeo mas visto en 2020
             Fans Club           ,2900.0,song of the year
             Μπομπ Σφουγγαράκης           ,29000.0,This is song is so addictive I can't stop listening to it.
             Andrea Baikole           ,24000.0,G-DRAGON POST THIS ON HIS STORY
             WHITE BLUE OPPA           ,1100.0,"Blink, what if this be the last time we saw them in this concept? :("
             Min Z           ,26000.0,I am: I've seen everything in life!!!BLACKPINK: How you like that?
             CJ Molano           ,694.0,BLINKS who wants the girls to win in MAMA 2020👇
             Josh Stephen A. Astillero           ,1400.0,BLINKS who wants the girls to win in MAMA 2020👇
             Luna 007           ,17000.0,"Can we appreciate how great they performed for their comeback i mean this is really a masterpiece They killed it.I can't get the song off my head i literally sang it everyday, i'm really addicted to this powerful song."
             Ly Ly           ,432.0,BLACKPINK World Domination
             Tian Paulin           ,37000.0,Look at you now look at me
             pralay           ,31000.0,Who wants this bop to hit 1 billion soon?
             Famosinhos Teen           ,796.0,VAMU VAMU 700 MILHÕESSSS
             plus nation           ,336.0,Main rapper jennie unni Main vocal rosé unnie Main dancer lisa unnie Main visual & secret leader & blink's  mom jisoo unnie
             In hh           ,12000.0,"You guys haters, whatever you guys do, BLACKPINK STILL CAN TAKE OVER THE CHART LOL"
             Lesyeuxde_mandu           ,4100.0,Have listened to this tons of times already but l'm still obsessing over lisa's badabingbadaboomboomboom :'))))
             hatice           ,22000.0,Blink don't hate ARMY and ARMY don't hate Blinks !!These are just haters of both groups!!!
             Blackpink In your area           ,91.0,"Vamos blinks , hagamos que las pinks ganen todo lo que se merecen"
             Andeng           ,20000.0,"I think the reason yg rarely makes blackpink comeback is because its big. And when I say big, its just BIG. Like just look at those background props damn. Their mvs are so grand its like throwing money everywhere. Im not complaining tho🤩"
             SANTIAGO CALDERÓN MORENO           ,571.0,Popular Opinion: BLACKPINK song is getting better and getting everytime has COMEBACK.
             Listen Linda           ,22000.0,"The spam comments are hurting my head- anyways slayed by this comeback.Edit: guys thank you for the love and likes. And also let’s not start fan wars, I love all of our fellow kpop groups/fandoms. Let’s not let the trolls divide us, we are better than them!!!!"
             James Bonn           ,33000.0,"This song is a banger! I like how the song started soft. The build up is so good. I got chills all over my body, really! And when the drop came, I’m like.... uhm yeah! I really really like this. Can’t stop myself from repeating it. Ughhhh, this is so good. 1, 2, 3 Ha How you like that?"
             ً           ,232.0,you want blackpink to attend on MAMA? let's str3am and vote bp on MAMA first.
             madhu Rawat           ,14000.0,This song is amazing. Blackpink comeback with a bop. Loved it!!!
             lalice amanda           ,5700.0,"Blackpink Queen's never disapointed me.. they'r slaying queen ,amazing girls.."
             Laura Samaniego           ,121.0,"NOSOTROS PODEMOS BLINKS , ESTE TIENE QUE SER EL PRIMER SOTY DE BLACKPINK ,OUR QUEENS"
             Porque Me Iludes Capópi?           ,28.0,BOOMBAYAH: 1.1BWHISTLE: 600MPLAYING WITH FIRE: 600MSTAY: 300MAIIYL: 1BDDDDD: 1.5BSOLO: 600MKTL: 1.2BHYLT: 700MICE CREAM: 500MLOVESISCK GIRLS: 300MCada like eu dou 20 viwes em cada M/V
             I’m Muffin           ,81000.0,"Haters: no one literally no one blahblahblah Come on guys grow up! Don’t waste your time commenting nonsense, if you hate bp then this is not your place. Don’t ruin the mood!Edit: sorry i didn’t know that there is something happening between army’s and blinks, I just knew it in the comment section saying that blinks start the spamming so they’re gonna do it also here in BP MV, but guys have you ever think of what if they’re not really a real blinks or army’s they were just antis who want us to start a fanwar? Just a disclaimer NOT ALL BLINKS WERE REAL BLINKS specially those who throw hate to others kpop groups/fandoms. So WE THE REAL BLINKS want to apologize on the behalf of the immature blonks. We waited for soooo long just to support our girls comeback so we’re not here to hate or start a war. I hope this fanwar will end not tomorrow nor later but now, because it’s totally NONSENSE, a WASTE OF TIME and full of INSECURE, IMMATURE and JUDGMENTAL people."
             CYC'S BIGGEST FAN           ,22000.0,I like how Blackpink’s ‘How You Like That’ comment section has already been memed.Edit: Sorry I didn’t realize that It was actually hate comments and not just people meming. I’m used to other content creators where their fans just do that for a joke reference or something else related. Can’t believe people are commenting it to maliciously freeze the vi3ws.
             Rosy Molina           ,106.0,Sigan haciendo STREAM DONDE ESTÁN LAS BLINKS DE LATINOAMÉRICA
             irviniichan           ,37000.0,"Please stop with the comments,  its getting annoying.  Let us just all appreciate the music here ppl."
             Reveluv Red           ,116.0,Blackpink ustedes son hermosas no se dejen influenciar por los malos comentarios ustedes son arte las amo
             Zülal Karademir           ,100.0,I love you Black🖤Pink💖
             Paing Thu           ,2800.0,Four queens are so hot and powerful
             Kim Jennie           ,1500.0,"Hadi blinks biraz daha uğraşırsak dört mükemmel kadın hak ettiği değeri görecek. Lütfen hepsini eşit sevelim.  Haksızlık yapılmasına izin vermeyelim.  Bizi daima seven, bizim için çabalayan kızlarımız için pes etmek yok.  Sevgilerle...           ~Turkish Blinks~"
             STREAM LOVESICK GIRLS           ,2800.0,Lets all get that triple crown or whatever that is in inkigayo again.The pinks deserves it :(((
"             ölmedim, ama diri de değilim           ",645.0,ᏴİᏞᏀİᏞᎬΝᎠİᎡᎷᎬJisoo ödül şovlarında ağlamayan tek üye olarak biliniyor.BİLGİLENDİRME BİTTİTurkish Blink
             Akkineni Tanmayisri           ,720.0,HOW YOU LIKE THAT: SONG OF THE YEAR BLACKPINK: BEST FEMALE GROUP BLINKS: BEST FANDOM EVER!
             skinnyed?           ,525.0,The song is only pre released but a whole bop
             Berrak Özay           ,960.0,"Arkadaşlar lütfen az sonra söyleyeceklerimi yapın bu çok önemli- Sürekli Türkçe yorum atın ve yorumlarınızın altına ""TURKISH BLINK"" yazın- Em0ji içeren yorum atmayın- Em0ji Tr3nd wi3v gibi kelimeleri bu şekilde yazın- Em0ji içeren yorumları spamlayın- Türkçe yorumları beğenin ve üste çıkmasını sağlayın....TURKISH BLINK"
             i'm trash           ,15000.0,for who spamming comment: look at anonymous twitter post :D edit: they posted themselves with blackpink's pillowedit 2: I'm Turkish Blink <3
             how u like that           ,6200.0,STR3AM THIS MV IF YOU WANT BLACKPINK TO WIN THE BEST FEMALE ARTIST ON MAMA MF
             ᴛᴇᴡᴋᴇs ʙᴜʀʏ           ,2900.0,Let's go 100M. Stream more blinks we got this!
             Nadia Klarisa           ,24000.0,Youtube hear me they just pretending to be bots to freeze the viewsBlackpink in our area
             •p h u o n g•           ,194.0,Who waiting for CONCERT ONLINE OF BLACKPINK👇
             Midari Ikishima           ,23000.0,GOAL:V7ews: 570MComments: 2.7MLikes:16.1MWE GOT IT BLINKS
             Kim Jeon           ,3200.0,Popular Opinion: WE WANT BLACKPINK TO WIN SOTY BECAUSE ITS THEIR FIRST WIN DAESANG! because why not? They are talented and well-deserve.
             Sam           ,27000.0,Can anyone tell me when they will start promoting on music shows and what shows...
             BlinkTeumeArmy A           ,2500.0,Jennie’s intro was so good
             ƒlσωєy꽃           ,11000.0,pls stop spamming the same comment
             Rey Golino           ,38000.0,Please report the “No one literally no one” they're trying to freeze the vi3ws spread !!!
             Let me TREASURE you           ,38000.0,"I hope yt ban this ""no one, literally no one, Everyone"" thing"
             black summer           ,36000.0,no one:literally no one:haters: blackpink is back let’s—-BLACKPINK: How Ya Like That?
             Renabele Sayco           ,30000.0,lemme check how many blinks are still streaming here!. Likeeeee this
             Kuma ༄           ,13000.0,"!!!PLEASE SPREAD!!! Those who are commenting  ""no one:  literally no one: Everyone :comments this and gets nothing of likes"" They do this to block vi3ws.They are also doing this in the comments of stay gold by BTS to sabotage them. Please report these comments. (sorry for my english but i'm italian)"
             I'm wrong           ,20000.0,70m in one day!! Don't stop to listen bp deserves it.
             BLINK as one           ,4100.0,Pls stream HOW YOU LIKE THAT MV not DANCE PERFORMANCE and vote in MAMA
             Vildana Veispahić           ,45000.0,"GUYS STOP THISNo one,literally no one comments...BECAUSE IT FROZEN THE VIEWS"
             인탄           ,16000.0,LET'S MAKE IT 100M IN ONE DAYY GUYSSS!!!
             j u s t b e n e           ,22000.0,"Can you guys just comment, “I love this” instead of those “no one” to get attention, because you accidentally ate a raccoon when you’re younger. Please stop. Thank you for the vi3ws doe(Sarcasm is in this, don’t take this seriously)"
"             Maligaya, Angelica D. 2B           ",2500.0,Blackpink deserves an awards so please str3am hard blinks. Let's do this for BLACKPINK! FIGHTING
             Morgan Safe           ,9500.0,Omg stop spamming the comments and freezing the vi3ws!
             ʙᴇᴛsʏ ɢᴀʀᴄɪᴀ ୭           ,1400.0,VOTE EVERYDAY FOR BLACKPINK IN MAMA
             Nezuko Kamado           ,34000.0,the more I see this the more I am addicted to this mv
             Avneesh15-Sharma           ,236.0,"Let's teach MAMA a lesson and tell them MAMA needs BLACKPINK, Blackpink doesn't need MAMA(They blurred blackpink image in 2017 with red colour and it's considered offensive and insulted them)"
             Yusuf           ,5900.0,Guys let’s break the record juice ayo.  Edit: OMG WE DID IT WE DID IT WE DID IT
             Kim Jeon           ,532.0,"Popular Opinion: HOW YOU LIKE THAT is a SOTY material, FACT."
             20Y1G YEO CHANG XIN VICTOR           ,2700.0,"Guys, the number of views is not important. The main thing is that we must be happy that our queens finally hit us with that comeback. And also if they are comfortable with it :)Edit. Thanks for the likes! Anyways...BP has broken records! Fastest MV to hit 100M views, most viewed MV in 24 hours!! Way to go blinks! It has been a week since their comeback, and we have already hit 218M views! Although the view count is dropping, we ain't gonna care about that. We are glad BP's ddu du ddu du surpassed 1B and that is all we ask for.Edit: damn 700 likes thx! :3ok yall are crazy 900 likes? WTH??Wtf 1.1k? Are yall insane???Woah I nvr got this many likes thanks!! :DI havent checked in like 2 months and its at 2.2k? Waaaaaaaaaaaat"
             manjumie kim           ,12000.0,Who is still streaming for MUSIC VIDEO OF THE YEAR?
             TR Melike Beyaz           ,838.0,TURKİSH Blink
             Meriah           ,80000.0,I hate that people are fighting over this... I’m army and blink so I don’t like the 2 fandoms fighting. Or anybody fighting over a long waited song. And it’s not just army’s or blinks it’s random people who have never listened to KPOP and just want something to bother people about. Haters are gonna be haters but the fan wars... what’s the point??? KPOP idols get along perfectly fine so why can’t we.
             VocalQueenLisa           ,779.0,If you think BLACKPINK deserve lots of awards then don't forget to str3am HYLT like its your lasfhjsk
             Myrtle           ,45000.0,"Haters: hard spam to freeze viеwsBlinks: silently break recordHow you like that, haters?ps. sorry for my eng (I'm russian)"
             LA           ,10000.0,"EVEN IF ITS TWENTY FOUR HOURS ALREADY, PLEASE DON'T STOP STRMING. LET'S REACH ONE HUNDRED MILLION VIEWS TODAY.I didn't expect this would get so many likes.. BUT PLEASE KEEP STREAMING! LETS BEAT THE RECORD OF THE FASTEST MV TO REACH 100 MILLION VI3WS.update: we reached 400 million views in just 43 days and it's exactly blackpink's 4th anniversary 🥺 just wow 👏🏼🖤💗 FOURever 🖤💗"
             ROSILY NC           ,438.0,VOTE BLACKPINK FOR MAMA 2020! Our girls deserve it!
             Baby Lisa           ,243.0,VOTE IN MAMA 2020 BLINKS. OUR GIRLS NEED WINS !!!!
             yashwanth kommasani           ,16000.0,This comment section is getting worse
             毛毛           ,4000.0,80M in 24h we did it blinksss
             Irene Dominguez           ,301.0,Vote MAMA BLACKPINK HOU YOU LIKE THAT Best song of year
             4 years with JenChuLiChaeng           ,465.0,Blinks don't forget to vote on mama soty and hylt then the album
             ستوريات منوعة           ,1000.0,كم عربي يحط لايك
